序号,样本点数据
839,1.921120828
840,1.923540326
841,1.913533716
842,1.913869683
843,1.913644413
844,1.912336098
845,1.914139352
846,1.912386344
847,1.916469905
848,1.917378953
849,1.916903314
850,1.920372247
851,1.920024526
852,1.920032966
853,1.919860791
854,1.919448332
855,1.919122201
856,1.91913128
857,1.91883165
858,1.918283815
859,1.918433017
860,1.919741127
861,1.918388343
862,1.919106061
863,1.918866678
864,1.918870012
865,1.912351446
866,1.90981573
867,1.908531253
868,1.908017681
869,1.906336067
870,1.916630782
871,1.908273738
872,1.914416751
873,1.916932366
874,1.917518738
875,1.917156305
876,1.916717397
877,1.915717101
878,1.916008986
879,1.91677407
880,1.916757108
881,1.916535272
882,1.916790589
883,1.915745891
884,1.916700977
885,1.916852669
886,1.917154867
887,1.91723824
888,1.918037988
889,1.917476849
890,1.917507809
891,1.916558171
892,1.914124664
893,1.915115476
894,1.912822397
895,1.914728702
896,1.911664912
897,1.908272758
898,1.918446554
899,1.91477176
900,1.917549775
901,1.918033868
902,1.919113089
903,1.918449876
904,1.919272179
905,1.919093025
906,1.920124972
907,1.918796398
908,1.919311028
909,1.91965025
910,1.920276033
911,1.920048571
912,1.92002501
913,1.920457617
914,1.919900412
915,1.91866509
916,1.919657212
917,1.911467382
918,1.914118645
919,1.910845416
920,1.915164375
921,1.914332556
922,1.910451979
923,1.91315359
924,1.914213149
925,1.917640353
926,1.91783678
927,1.917150104
928,1.917344728
929,1.917825965
930,1.917579535
931,1.918112852
932,1.91806992
933,1.916924365
934,1.916797499
935,1.917438931
936,1.917492104
937,1.917706457
938,1.918680307
939,1.917227425
940,1.924590668
941,1.918183597
942,1.91176409
943,1.911618361
944,1.912643411
945,1.908057757
946,1.91072928
947,1.91175908
948,1.914472635
949,1.914824296
950,1.916176544
951,1.915542659
952,1.91568043
953,1.915409544
954,1.915577693
955,1.915028349
956,1.915057746
957,1.915332878
958,1.914798728
959,1.91486418
960,1.917128612
961,1.91505238
962,1.914606196
963,1.914799297
964,1.914823799
965,1.914551169
966,1.913878306
967,1.91310017
968,1.914080313
969,1.914664995
970,1.913780526
971,1.912796837
972,1.914079578
973,1.91418084
974,1.914006265
975,1.913904267
976,1.91440734
977,1.913969446
978,1.913639292
979,1.913748228
980,1.91378709
981,1.914111127
982,1.914181126
983,1.914730755
984,1.914083802
985,1.915408543
986,1.914784557
987,1.913749745
988,1.913905182
989,1.913674372
990,1.912901376
991,1.913989818
992,1.909732745
993,1.910264155
994,1.906309826
995,1.91072883
996,1.911329081
997,1.91066646
998,1.910593251
999,1.911270485
1000,1.912539533
1001,1.911761136
1002,1.912538889
1003,1.911281965
1004,1.910570154
1005,1.91070273
1006,1.910938048
1007,1.911053621
1008,1.911073945
1009,1.911364887
1010,1.912152122
1011,1.911631627
1012,1.911538984
1013,1.912083632
1014,1.912006243
1015,1.912936071
1016,1.911179417
1017,1.909556412
1018,1.909859869
1019,1.911221146
1020,1.909023649
1021,1.906447893
1022,1.908393634
1023,1.909615225
1024,1.909631066
1025,1.912153184
1026,1.911883701
1027,1.912725305
1028,1.912557436
1029,1.913655907
1030,1.913032667
1031,1.913985727
1032,1.913005138
1033,1.913582252
1034,1.913989531
1035,1.913616593
1036,1.914651907
1037,1.914134941
1038,1.914119183
1039,1.913897214
1040,1.918717801
1041,1.910280621
1042,1.909198673
1043,1.903033932
1044,1.908070802
1045,1.904767215
1046,1.904998239
1047,1.909259485
1048,1.909442815
1049,1.911270194
1050,1.912694103
1051,1.912594448
1052,1.911298688
1053,1.911241166
1054,1.912331829
1055,1.912262733
1056,1.911777263
1057,1.912994916
1058,1.912390435
1059,1.912478564
1060,1.913332116
1061,1.911777417
1062,1.912611827
1063,1.912504159
1064,1.91224256
1065,1.91224874
1066,1.909334374
1067,1.911141291
1068,1.907285374
1069,1.905191977
1070,1.908335179
1071,1.905483379
1072,1.908670555
1073,1.910474242
1074,1.909342907
1075,1.910758784
1076,1.911022028
1077,1.91111774
1078,1.910492298
1079,1.910135477
1080,1.910290985
1081,1.909287734
1082,1.909645126
1083,1.909411287
1084,1.909843359
1085,1.909038172
1086,1.909079478
1087,1.909766936
1088,1.909568381
1089,1.909093138
1090,1.906363377
1091,1.904165647
1092,1.908698086
1093,1.913127374
1094,1.913841131
1095,1.89890238
1096,1.909393112
1097,1.908356981
1098,1.908309845
1099,1.907843914
1100,1.90815388
1101,1.908272181
1102,1.908586188
1103,1.908143238
1104,1.907583412
1105,1.907335718
1106,1.90738112
1107,1.907566041
1108,1.906771315
1109,1.907047109
1110,1.90763586
1111,1.907729689
1112,1.907723553
1113,1.907819589
1114,1.907284919
1115,1.906793091
1116,1.906962839
1117,1.903087347
1118,1.899963443
1119,1.90815841
1120,1.906128139
1121,1.905531961
1122,1.906430404
1123,1.905591716
1124,1.905056122
1125,1.905820696
1126,1.90581561
1127,1.905190808
1128,1.903278692
1129,1.905954178
1130,1.906804088
1131,1.906685261
1132,1.906784571
1133,1.906221066
1134,1.905315748
1135,1.906172693
1136,1.90672164
1137,1.906438072
1138,1.906836631
1139,1.906572649
1140,1.906824222
1141,1.903317762
1142,1.901854497
1143,1.901581474
1144,1.90318471
1145,1.90176902
1146,1.896938388
1147,1.899238322
1148,1.903831789
1149,1.904694335
1150,1.905055304
1151,1.90492713
1152,1.905558892
1153,1.905168695
1154,1.905295859
1155,1.904981654
1156,1.904676032
1157,1.904636103
1158,1.904832458
1159,1.904155875
1160,1.904911801
1161,1.904110238
1162,1.904795245
1163,1.904272266
1164,1.903376236
1165,1.903369989
1166,1.903244057
1167,1.904274908
1168,1.903165711
1169,1.897146496
1170,1.89560076
1171,1.901430788
1172,1.901879824
1173,1.903024517
1174,1.903354252
1175,1.903630761
1176,1.90325656
1177,1.903313134
1178,1.902550851
1179,1.903146438
1180,1.902911444
1181,1.902717208
1182,1.902296512
1183,1.902590326
1184,1.902462978
1185,1.902093917
1186,1.902087028
1187,1.902455508
1188,1.901723445
1189,1.902625766
1190,1.901706552
1191,1.901293349
1192,1.901353326
1193,1.901223252
1194,1.897066884
1195,1.895588382
1196,1.897313916
1197,1.897639567
1198,1.902677451
1199,1.901841967
1200,1.902719838
1201,1.903485351
1202,1.903403967
1203,1.903857259
1204,1.903922203
1205,1.903176647
1206,1.903661055
1207,1.904167237
1208,1.903000769
1209,1.904007326
1210,1.904440859
1211,1.904391388
1212,1.903679298
1213,1.904063903
1214,1.903291026
1215,1.903801585
1216,1.903867842
1217,1.892504655
1218,1.8898509
1219,1.893658405
1220,1.895495058
1221,1.896447571
1222,1.897217454
1223,1.902924758
1224,1.902604288
1225,1.903093163
1226,1.903203498
1227,1.902506628
1228,1.903064238
1229,1.901674979
1230,1.903539936
1231,1.902872667
1232,1.902892392
1233,1.902855342
1234,1.902958813
1235,1.90231536
1236,1.902842309
1237,1.902142009
1238,1.901915989
1239,1.90236216
1240,1.90146745
1241,1.898366058
1242,1.898879327
1243,1.898940181
1244,1.897533329
1245,1.899840076
1246,1.891028039
1247,1.897625161
1248,1.900767793
1249,1.900799149
1250,1.90118375
1251,1.901339028
1252,1.9007953
